year_month,industry,ratio,country
202408,K-패션,11.24,일본
202408,K-문화체험,1.74,일본
202408,K-나이트컬처,0.66,일본
202408,K-스포츠,0.34,일본
202408,K-공연,0.27,일본
202409,K-라이프스타일푸드,39.22,일본
202409,K-쇼핑,21.86,일본
202409,K-한식,13.28,일본
202409,K-뷰티웰니스,10.79,일본
202409,K-패션,12.19,일본
202409,K-문화체험,1.49,일본
202409,K-나이트컬처,0.67,일본
202409,K-스포츠,0.28,일본
202409,K-공연,0.22,일본
202410,K-라이프스타일푸드,38.67,일본
202410,K-쇼핑,21.99,일본
202410,K-한식,13.63,일본
202410,K-뷰티웰니스,11.25,일본
202410,K-패션,11.87,일본
202410,K-문화체험,1.39,일본
202410,K-나이트컬처,0.71,일본
202410,K-스포츠,0.29,일본
202410,K-공연,0.2,일본
202411,K-라이프스타일푸드,37.79,일본
202411,K-쇼핑,22.2,일본
202411,K-한식,13.66,일본
202411,K-뷰티웰니스,11.76,일본
202411,K-패션,12.13,일본
202411,K-문화체험,1.31,일본
202411,K-나이트컬처,0.71,일본
202411,K-스포츠,0.28,일본
202411,K-공연,0.17,일본
202412,K-라이프스타일푸드,38.02,일본
202412,K-쇼핑,23.19,일본
202412,K-한식,14.08,일본
202412,K-뷰티웰니스,11.16,일본
202412,K-패션,10.77,일본
202412,K-문화체험,1.57,일본
202412,K-나이트컬처,0.67,일본
202412,K-스포츠,0.31,일본
202412,K-공연,0.22,일본
202501,K-라이프스타일푸드,38.6,일본
202501,K-쇼핑,23.15,일본
202501,K-한식,14.17,일본
202501,K-뷰티웰니스,10.92,일본
202501,K-패션,10.21,일본
202501,K-문화체험,1.7,일본
202501,K-나이트컬처,0.67,일본
202501,K-스포츠,0.35,일본
202501,K-공연,0.23,일본
202502,K-라이프스타일푸드,38.77,일본
202502,K-쇼핑,21.99,일본
202502,K-한식,13.81,일본
202502,K-뷰티웰니스,11.08,일본
202502,K-패션,11.63,일본
202502,K-문화체험,1.58,일본
202502,K-나이트컬처,0.62,일본
202502,K-스포츠,0.32,일본
202502,K-공연,0.18,일본
202503,K-라이프스타일푸드,39.29,일본
202503,K-쇼핑,21.63,일본
202503,K-한식,13.36,일본
202503,K-뷰티웰니스,10.92,일본
202503,K-패션,12.24,일본
202503,K-문화체험,1.56,일본
202503,K-나이트컬처,0.58,일본
202503,K-스포츠,0.27,일본
202503,K-공연,0.15,일본
202504,K-라이프스타일푸드,39.99,일본
202504,K-쇼핑,22.35,일본
202504,K-한식,13.85,일본
202504,K-뷰티웰니스,10.55,일본
